✨28.12.2025, 21:13:09✨ | GET / | Status: 200 | 43ms
✨28.12.2025, 21:13:09✨ | GET / | Status: 200 | 49ms
✨28.12.2025, 21:13:10✨ | GET / | Status: 200 | 11ms
✨28.12.2025, 21:13:10✨ | GET / | Status: 200 | 12ms
✨28.12.2025, 21:13:20✨ | GET / | Status: 200 | 9ms
✨28.12.2025, 21:13:20✨ | GET / | Status: 200 | 11ms
✨28.12.2025, 21:13:20✨ | GET / | Status: 200 | 9ms
✨28.12.2025, 21:13:20✨ | GET / | Status: 200 | 11ms
✨28.12.2025, 21:13:22✨ | GET /690089fb0269dfef2da4b04a | Status: 200 | 32ms
✨28.12.2025, 21:13:22✨ | GET /690089fb0269dfef2da4b04a | Status: 200 | 32ms
✨28.12.2025, 21:13:22✨ | GET /690089fb0269dfef2da4b04a | Status: 200 | 16ms
✨28.12.2025, 21:13:22✨ | GET /690089fb0269dfef2da4b04a | Status: 200 | 16ms
✨28.12.2025, 21:13:22✨ | GET /category/Cakes | Status: 200 | 13ms
✨28.12.2025, 21:13:22✨ | GET /category/Cakes | Status: 200 | 14ms
✨28.12.2025, 21:13:22✨ | GET /category/Cakes | Status: 200 | 8ms
✨28.12.2025, 21:13:22✨ | GET /category/Cakes | Status: 200 | 9ms
✨28.12.2025, 21:13:30✨ | GET /category/cakes | Status: 200 | 5ms
✨28.12.2025, 21:13:30✨ | GET /category/cakes | Status: 200 | 6ms
✨28.12.2025, 21:13:30✨ | GET /category/cakes | Status: 200 | 6ms
✨28.12.2025, 21:13:30✨ | GET /category/cakes | Status: 200 | 6ms
✨28.12.2025, 21:13:32✨ | GET /6900b7b93a9233396e391b9b | Status: 200 | 8ms
✨28.12.2025, 21:13:32✨ | GET /6900b7b93a9233396e391b9b | Status: 200 | 8ms
✨28.12.2025, 21:13:32✨ | GET /6900b7b93a9233396e391b9b | Status: 200 | 10ms
✨28.12.2025, 21:13:32✨ | GET /6900b7b93a9233396e391b9b | Status: 200 | 11ms
✨28.12.2025, 21:13:32✨ | GET /category/Cakes | Status: 200 | 6ms
✨28.12.2025, 21:13:32✨ | GET /category/Cakes | Status: 200 | 7ms
✨28.12.2025, 21:13:32✨ | GET /category/Cakes | Status: 200 | 4ms
✨28.12.2025, 21:13:32✨ | GET /category/Cakes | Status: 200 | 5ms
✨28.12.2025, 21:13:34✨ | GET /690089fb0269dfef2da4b04a | Status: 200 | 7ms
✨28.12.2025, 21:13:34✨ | GET /690089fb0269dfef2da4b04a | Status: 200 | 7ms
✨28.12.2025, 21:13:34✨ | GET /category/Cakes | Status: 200 | 4ms
✨28.12.2025, 21:13:34✨ | GET /category/Cakes | Status: 200 | 5ms
