✨1.1.2026, 16:31:37✨ | GET /stats | Status: 200 | 66ms
✨1.1.2026, 16:31:37✨ | GET /new-customers?months=7 | Status: 200 | 44ms
✨1.1.2026, 16:31:37✨ | GET /revenue?months=7 | Status: 200 | 4ms
✨1.1.2026, 16:31:37✨ | GET /revenue?months=7 | Status: 200 | 4ms
✨1.1.2026, 16:31:37✨ | GET /stats | Status: 200 | 44ms
✨1.1.2026, 16:33:23✨ | GET /new-customers?months=7 | Status: 200 | 23ms
✨1.1.2026, 16:33:23✨ | GET /current | Status: 200 | 39ms
✨1.1.2026, 16:33:23✨ | GET /revenue?months=7 | Status: 200 | 4ms
✨1.1.2026, 16:33:23✨ | GET /stats | Status: 200 | 130ms
✨1.1.2026, 16:33:23✨ | GET /new-customers?months=7 | Status: 200 | 43ms
✨1.1.2026, 16:33:23✨ | GET /current | Status: 200 | 35ms
✨1.1.2026, 16:33:23✨ | GET /revenue?months=7 | Status: 200 | 3ms
✨1.1.2026, 16:33:23✨ | GET /stats | Status: 200 | 30ms
✨1.1.2026, 16:33:26✨ | GET /current | Status: 200 | 17ms
✨1.1.2026, 16:33:26✨ | GET /new-customers?months=7 | Status: 200 | 13ms
✨1.1.2026, 16:33:26✨ | GET /current | Status: 200 | 15ms
✨1.1.2026, 16:33:26✨ | GET /new-customers?months=7 | Status: 200 | 11ms
✨1.1.2026, 16:33:26✨ | GET /stats | Status: 200 | 36ms
✨1.1.2026, 16:33:26✨ | GET /stats | Status: 200 | 16ms
✨1.1.2026, 16:33:26✨ | GET /revenue?months=7 | Status: 200 | 3ms
✨1.1.2026, 16:33:26✨ | GET /revenue?months=7 | Status: 200 | 3ms
✨1.1.2026, 16:35:20✨ | GET /current | Status: 200 | 44ms
✨1.1.2026, 16:35:20✨ | GET /new-customers?months=7 | Status: 200 | 27ms
✨1.1.2026, 16:35:20✨ | GET /current | Status: 200 | 19ms
✨1.1.2026, 16:35:20✨ | GET /new-customers?months=7 | Status: 200 | 18ms
✨1.1.2026, 16:35:20✨ | GET /stats | Status: 200 | 80ms
✨1.1.2026, 16:35:20✨ | GET /stats | Status: 200 | 67ms
✨1.1.2026, 16:35:21✨ | GET /revenue?months=7 | Status: 200 | 19ms
✨1.1.2026, 16:35:21✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:38:51✨ | GET /current | Status: 200 | 17ms
✨1.1.2026, 16:38:51✨ | GET /new-customers?months=7 | Status: 200 | 11ms
✨1.1.2026, 16:38:51✨ | GET /current | Status: 200 | 15ms
✨1.1.2026, 16:38:51✨ | GET /stats | Status: 200 | 40ms
✨1.1.2026, 16:38:51✨ | GET /new-customers?months=7 | Status: 200 | 15ms
✨1.1.2026, 16:38:51✨ | GET /stats | Status: 200 | 13ms
✨1.1.2026, 16:38:51✨ | GET /revenue?months=7 | Status: 200 | 6ms
✨1.1.2026, 16:38:51✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:39:20✨ | GET /current | Status: 200 | 12ms
✨1.1.2026, 16:39:20✨ | GET /new-customers?months=7 | Status: 200 | 12ms
✨1.1.2026, 16:39:21✨ | GET /current | Status: 200 | 12ms
✨1.1.2026, 16:39:21✨ | GET /new-customers?months=7 | Status: 200 | 10ms
✨1.1.2026, 16:39:21✨ | GET /stats | Status: 200 | 31ms
✨1.1.2026, 16:39:21✨ | GET /stats | Status: 200 | 13ms
✨1.1.2026, 16:39:21✨ | GET /revenue?months=7 | Status: 200 | 3ms
✨1.1.2026, 16:39:21✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:39:31✨ | GET /current | Status: 200 | 14ms
✨1.1.2026, 16:39:31✨ | GET /new-customers?months=7 | Status: 200 | 12ms
✨1.1.2026, 16:39:31✨ | GET /current | Status: 200 | 13ms
✨1.1.2026, 16:39:31✨ | GET /stats | Status: 200 | 30ms
✨1.1.2026, 16:39:31✨ | GET /new-customers?months=7 | Status: 200 | 15ms
✨1.1.2026, 16:39:31✨ | GET /stats | Status: 200 | 12ms
✨1.1.2026, 16:39:31✨ | GET /revenue?months=7 | Status: 200 | 5ms
✨1.1.2026, 16:39:31✨ | GET /revenue?months=7 | Status: 200 | 24ms
✨1.1.2026, 16:40:20✨ | GET /current | Status: 200 | 5ms
✨1.1.2026, 16:40:20✨ | GET /new-customers?months=7 | Status: 200 | 9ms
✨1.1.2026, 16:40:20✨ | GET /stats | Status: 200 | 11ms
✨1.1.2026, 16:40:20✨ | GET /current | Status: 200 | 9ms
✨1.1.2026, 16:40:20✨ | GET /new-customers?months=7 | Status: 200 | 20ms
✨1.1.2026, 16:40:20✨ | GET /stats | Status: 200 | 23ms
✨1.1.2026, 16:40:20✨ | GET /revenue?months=7 | Status: 200 | 3ms
✨1.1.2026, 16:40:20✨ | GET /revenue?months=7 | Status: 200 | 2ms
✨1.1.2026, 16:40:22✨ | GET /current | Status: 200 | 9ms
✨1.1.2026, 16:40:22✨ | GET /new-customers?months=7 | Status: 200 | 10ms
✨1.1.2026, 16:40:22✨ | GET /stats | Status: 200 | 15ms
✨1.1.2026, 16:40:22✨ | GET /current | Status: 200 | 5ms
