✨30.12.2025, 17:16:12✨ | GET / | Status: 200 | 57ms
✨30.12.2025, 17:16:12✨ | GET / | Status: 200 | 63ms
✨30.12.2025, 17:16:12✨ | GET / | Status: 200 | 15ms
✨30.12.2025, 17:16:12✨ | GET / | Status: 200 | 17ms
✨30.12.2025, 17:16:17✨ | GET / | Status: 200 | 9ms
✨30.12.2025, 17:16:17✨ | GET / | Status: 200 | 10ms
✨30.12.2025, 17:16:17✨ | GET / | Status: 200 | 12ms
✨30.12.2025, 17:16:17✨ | GET / | Status: 200 | 14ms
✨30.12.2025, 17:16:21✨ | GET / | Status: 200 | 8ms
✨30.12.2025, 17:16:21✨ | GET / | Status: 200 | 11ms
✨30.12.2025, 17:16:21✨ | GET / | Status: 200 | 9ms
✨30.12.2025, 17:16:21✨ | GET / | Status: 200 | 10ms
✨30.12.2025, 17:19:33✨ | POST /login | Status: 200 | 132ms
✨30.12.2025, 17:19:37✨ | GET /me | Status: 200 | 28ms
✨30.12.2025, 17:19:37✨ | GET /me | Status: 200 | 26ms
✨30.12.2025, 17:19:37✨ | GET /me | Status: 200 | 8ms
✨30.12.2025, 17:19:37✨ | GET /me | Status: 200 | 9ms
✨30.12.2025, 17:20:01✨ | GET /me | Status: 200 | 8ms
✨30.12.2025, 17:20:01✨ | GET /me | Status: 200 | 8ms
✨30.12.2025, 17:20:01✨ | GET /me | Status: 200 | 7ms
✨30.12.2025, 17:20:01✨ | GET /me | Status: 200 | 8ms
✨30.12.2025, 17:20:03✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 17:20:03✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 17:20:03✨ | GET /me | Status: 200 | 6ms
✨30.12.2025, 17:20:03✨ | GET /me | Status: 200 | 7ms
✨30.12.2025, 17:20:07✨ | GET /me | Status: 200 | 6ms
✨30.12.2025, 17:20:07✨ | GET /me | Status: 200 | 6ms
✨30.12.2025, 17:20:08✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 17:20:08✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 17:29:25✨ | GET /me | Status: 200 | 6ms
✨30.12.2025, 17:29:25✨ | GET /me | Status: 200 | 6ms
✨30.12.2025, 17:29:25✨ | GET /me | Status: 200 | 6ms
✨30.12.2025, 17:29:25✨ | GET /me | Status: 200 | 7ms
✨30.12.2025, 17:29:37✨ | GET /me | Status: 200 | 8ms
✨30.12.2025, 17:29:37✨ | GET /me | Status: 200 | 8ms
✨30.12.2025, 17:29:37✨ | GET /me | Status: 200 | 6ms
✨30.12.2025, 17:29:37✨ | GET /me | Status: 200 | 6ms
✨30.12.2025, 17:31:57✨ | GET /me | Status: 200 | 23ms
✨30.12.2025, 17:31:57✨ | GET /me | Status: 200 | 26ms
✨30.12.2025, 17:31:57✨ | GET /me | Status: 200 | 7ms
✨30.12.2025, 17:31:57✨ | GET /me | Status: 200 | 7ms
✨30.12.2025, 17:32:56✨ | POST /login | Status: 200 | 122ms
✨30.12.2025, 17:32:59✨ | GET /me | Status: 200 | 6ms
✨30.12.2025, 17:32:59✨ | GET /me | Status: 200 | 7ms
✨30.12.2025, 17:32:59✨ | GET /me | Status: 200 | 6ms
✨30.12.2025, 17:32:59✨ | GET /me | Status: 200 | 6ms
✨30.12.2025, 17:35:21✨ | POST /login | Status: 200 | 138ms
✨30.12.2025, 17:35:32✨ | POST /login | Status: 200 | 104ms
✨30.12.2025, 17:35:35✨ | GET /me | Status: 200 | 11ms
✨30.12.2025, 17:35:35✨ | GET /me | Status: 200 | 11ms
✨30.12.2025, 17:35:35✨ | GET /me | Status: 200 | 7ms
✨30.12.2025, 17:35:35✨ | GET /me | Status: 200 | 8ms
✨30.12.2025, 17:36:35✨ | POST /login | Status: 200 | 132ms
✨30.12.2025, 17:36:38✨ | GET /me | Status: 200 | 10ms
✨30.12.2025, 17:36:38✨ | GET /me | Status: 200 | 11ms
✨30.12.2025, 17:36:38✨ | GET /me | Status: 200 | 9ms
✨30.12.2025, 17:36:38✨ | GET /me | Status: 200 | 10ms
✨30.12.2025, 17:37:41✨ | POST /login | Status: 200 | 158ms
✨30.12.2025, 17:37:44✨ | GET /me | Status: 200 | 10ms
✨30.12.2025, 17:37:44✨ | GET /me | Status: 200 | 11ms
✨30.12.2025, 17:37:44✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 17:37:44✨ | GET /me | Status: 200 | 6ms
✨30.12.2025, 17:45:34✨ | GET /me | Status: 200 | 57ms
✨30.12.2025, 17:45:34✨ | GET /me | Status: 200 | 57ms
✨30.12.2025, 17:45:35✨ | GET /me | Status: 200 | 7ms
✨30.12.2025, 17:45:35✨ | GET /me | Status: 200 | 7ms
✨30.12.2025, 17:46:37✨ | GET /me | Status: 200 | 6ms
✨30.12.2025, 17:46:37✨ | GET /me | Status: 200 | 7ms
✨30.12.2025, 17:46:37✨ | GET /me | Status: 200 | 8ms
✨30.12.2025, 17:46:37✨ | GET /me | Status: 200 | 9ms
✨30.12.2025, 17:46:49✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 17:46:49✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 17:46:49✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 17:46:49✨ | GET /me | Status: 200 | 6ms
✨30.12.2025, 17:46:59✨ | GET /me | Status: 200 | 9ms
✨30.12.2025, 17:46:59✨ | GET /me | Status: 200 | 9ms
✨30.12.2025, 17:46:59✨ | GET /me | Status: 200 | 8ms
✨30.12.2025, 17:46:59✨ | GET /me | Status: 200 | 9ms
✨30.12.2025, 17:50:29✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 17:50:29✨ | GET /me | Status: 200 | 6ms
✨30.12.2025, 17:50:29✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 17:50:29✨ | GET /me | Status: 200 | 6ms
✨30.12.2025, 17:52:04✨ | GET /me | Status: 200 | 6ms
✨30.12.2025, 17:52:04✨ | GET /me | Status: 200 | 7ms
✨30.12.2025, 17:52:04✨ | GET /me | Status: 200 | 6ms
✨30.12.2025, 17:52:04✨ | GET /me | Status: 200 | 6ms
✨30.12.2025, 17:52:33✨ | GET /me | Status: 200 | 4ms
✨30.12.2025, 17:52:33✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 17:52:33✨ | GET /me | Status: 200 | 14ms
✨30.12.2025, 17:52:33✨ | GET /me | Status: 200 | 14ms
✨30.12.2025, 17:56:21✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 17:56:21✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 17:56:21✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 17:56:21✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 17:59:35✨ | POST /login | Status: 200 | 112ms
✨30.12.2025, 17:59:38✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 17:59:38✨ | GET /me | Status: 200 | 6ms
✨30.12.2025, 17:59:38✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 17:59:38✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 18:05:38✨ | GET /me | Status: 200 | 4ms
✨30.12.2025, 18:05:38✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 18:05:38✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 18:05:38✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 18:06:17✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 18:06:17✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 18:06:17✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 18:06:17✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 18:06:35✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 18:06:35✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 18:06:35✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 18:06:35✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 18:07:51✨ | GET / | Status: 200 | 13ms
✨30.12.2025, 18:07:51✨ | GET / | Status: 200 | 17ms
✨30.12.2025, 18:07:51✨ | GET / | Status: 200 | 10ms
✨30.12.2025, 18:07:51✨ | GET / | Status: 200 | 13ms
✨30.12.2025, 18:07:53✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 18:07:53✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 18:07:53✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 18:07:53✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 18:14:34✨ | POST /login | Status: 200 | 102ms
✨30.12.2025, 18:15:51✨ | GET /me | Status: 200 | 4ms
✨30.12.2025, 18:15:51✨ | GET /me | Status: 200 | 4ms
✨30.12.2025, 18:15:51✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 18:15:51✨ | GET /me | Status: 200 | 6ms
✨30.12.2025, 18:16:04✨ | GET / | Status: 200 | 9ms
✨30.12.2025, 18:16:04✨ | GET / | Status: 200 | 11ms
✨30.12.2025, 18:16:04✨ | GET / | Status: 200 | 9ms
✨30.12.2025, 18:16:04✨ | GET / | Status: 200 | 11ms
✨30.12.2025, 18:16:05✨ | GET / | Status: 200 | 9ms
✨30.12.2025, 18:16:05✨ | GET / | Status: 200 | 11ms
✨30.12.2025, 18:16:05✨ | GET / | Status: 200 | 9ms
✨30.12.2025, 18:16:05✨ | GET / | Status: 200 | 11ms
✨30.12.2025, 18:16:06✨ | GET /690089fb0269dfef2da4b04a | Status: 200 | 45ms
✨30.12.2025, 18:16:06✨ | GET /690089fb0269dfef2da4b04a | Status: 200 | 45ms
✨30.12.2025, 18:16:06✨ | GET /690089fb0269dfef2da4b04a | Status: 200 | 7ms
✨30.12.2025, 18:16:06✨ | GET /690089fb0269dfef2da4b04a | Status: 200 | 7ms
✨30.12.2025, 18:16:06✨ | GET /category/Cakes | Status: 200 | 6ms
✨30.12.2025, 18:16:06✨ | GET /category/Cakes | Status: 200 | 6ms
✨30.12.2025, 18:16:06✨ | GET /category/Cakes | Status: 200 | 4ms
✨30.12.2025, 18:16:06✨ | GET /category/Cakes | Status: 200 | 4ms
✨30.12.2025, 18:16:24✨ | GET /category/cakes | Status: 200 | 4ms
✨30.12.2025, 18:16:24✨ | GET /category/cakes | Status: 200 | 5ms
✨30.12.2025, 18:16:24✨ | GET /category/cakes | Status: 200 | 6ms
✨30.12.2025, 18:16:24✨ | GET /category/cakes | Status: 200 | 6ms
✨30.12.2025, 18:18:41✨ | GET /category/cakes | Status: 200 | 5ms
✨30.12.2025, 18:18:41✨ | GET /category/cakes | Status: 200 | 5ms
✨30.12.2025, 18:18:41✨ | GET /category/cakes | Status: 200 | 4ms
✨30.12.2025, 18:18:41✨ | GET /category/cakes | Status: 200 | 5ms
✨30.12.2025, 18:18:55✨ | GET /category/cakes | Status: 200 | 4ms
✨30.12.2025, 18:18:55✨ | GET /category/cakes | Status: 200 | 4ms
✨30.12.2025, 18:18:55✨ | GET /category/cakes | Status: 200 | 4ms
✨30.12.2025, 18:18:55✨ | GET /category/cakes | Status: 200 | 5ms
✨30.12.2025, 18:19:45✨ | GET /category/cakes | Status: 200 | 4ms
✨30.12.2025, 18:19:45✨ | GET /category/cakes | Status: 200 | 4ms
✨30.12.2025, 18:19:45✨ | GET /category/cakes | Status: 200 | 7ms
✨30.12.2025, 18:19:45✨ | GET /category/cakes | Status: 200 | 8ms
✨30.12.2025, 18:19:50✨ | GET /category/cakes | Status: 200 | 4ms
✨30.12.2025, 18:19:50✨ | GET /category/cakes | Status: 200 | 5ms
✨30.12.2025, 18:19:50✨ | GET /category/cakes | Status: 200 | 4ms
✨30.12.2025, 18:19:50✨ | GET /category/cakes | Status: 200 | 6ms
✨30.12.2025, 18:20:02✨ | GET /category/cakes | Status: 200 | 4ms
✨30.12.2025, 18:20:02✨ | GET /category/cakes | Status: 200 | 5ms
✨30.12.2025, 18:20:02✨ | GET /category/cakes | Status: 200 | 7ms
✨30.12.2025, 18:20:02✨ | GET /category/cakes | Status: 200 | 7ms
✨30.12.2025, 18:28:58✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 18:28:58✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 18:28:58✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 18:28:58✨ | GET /me | Status: 200 | 5ms
✨30.12.2025, 18:29:02✨ | GET / | Status: 200 | 8ms
✨30.12.2025, 18:29:02✨ | GET / | Status: 200 | 10ms
✨30.12.2025, 18:29:02✨ | GET / | Status: 200 | 9ms
✨30.12.2025, 18:29:02✨ | GET / | Status: 200 | 11ms
✨30.12.2025, 18:29:06✨ | GET / | Status: 200 | 7ms
✨30.12.2025, 18:29:06✨ | GET / | Status: 200 | 9ms
