✨29.12.2025, 11:34:41✨ | POST /register | Status: 201 | 169ms
✨29.12.2025, 11:35:45✨ | POST /register | Status: 201 | 111ms
✨29.12.2025, 11:37:15✨ | POST /register | Status: 201 | 105ms
✨29.12.2025, 11:39:35✨ | POST /login | Status: 200 | 148ms
✨29.12.2025, 11:39:56✨ | POST /login | Status: 200 | 100ms
✨29.12.2025, 11:41:44✨ | POST /login | Status: 200 | 102ms
✨29.12.2025, 11:43:48✨ | POST /login | Status: 200 | 100ms
✨29.12.2025, 15:26:27✨ | POST /login | Status: 200 | 108ms
✨29.12.2025, 15:42:16✨ | GET / | Status: 200 | 15ms
✨29.12.2025, 15:42:16✨ | GET / | Status: 200 | 18ms
✨29.12.2025, 15:42:16✨ | GET / | Status: 200 | 11ms
✨29.12.2025, 15:42:16✨ | GET / | Status: 200 | 15ms
✨29.12.2025, 15:42:18✨ | GET /690089fb0269dfef2da4b04a | Status: 200 | 15ms
✨29.12.2025, 15:42:18✨ | GET /690089fb0269dfef2da4b04a | Status: 200 | 15ms
✨29.12.2025, 15:42:18✨ | GET /690089fb0269dfef2da4b04a | Status: 200 | 12ms
✨29.12.2025, 15:42:18✨ | GET /690089fb0269dfef2da4b04a | Status: 200 | 12ms
✨29.12.2025, 15:42:18✨ | GET /category/Cakes | Status: 200 | 8ms
✨29.12.2025, 15:42:18✨ | GET /category/Cakes | Status: 200 | 8ms
✨29.12.2025, 15:42:18✨ | GET /category/Cakes | Status: 200 | 4ms
✨29.12.2025, 15:42:18✨ | GET /category/Cakes | Status: 200 | 5ms
✨29.12.2025, 15:43:35✨ | GET / | Status: 200 | 8ms
✨29.12.2025, 15:43:35✨ | GET / | Status: 200 | 10ms
✨29.12.2025, 15:43:35✨ | GET / | Status: 200 | 8ms
✨29.12.2025, 15:43:35✨ | GET / | Status: 200 | 10ms
✨29.12.2025, 15:43:40✨ | GET / | Status: 200 | 8ms
✨29.12.2025, 15:43:40✨ | GET / | Status: 200 | 9ms
✨29.12.2025, 15:43:40✨ | GET / | Status: 200 | 8ms
✨29.12.2025, 15:43:40✨ | GET / | Status: 200 | 9ms
✨29.12.2025, 15:43:43✨ | GET / | Status: 200 | 8ms
✨29.12.2025, 15:43:43✨ | GET / | Status: 200 | 9ms
✨29.12.2025, 15:43:43✨ | GET / | Status: 200 | 8ms
✨29.12.2025, 15:43:43✨ | GET / | Status: 200 | 10ms
✨29.12.2025, 16:15:04✨ | GET / | Status: 200 | 25ms
✨29.12.2025, 16:15:04✨ | GET / | Status: 200 | 31ms
✨29.12.2025, 16:15:05✨ | GET / | Status: 200 | 9ms
✨29.12.2025, 16:15:05✨ | GET / | Status: 200 | 12ms
✨29.12.2025, 16:19:44✨ | GET /me | Status: 200 | 31ms
✨29.12.2025, 16:19:44✨ | GET /me | Status: 200 | 32ms
✨29.12.2025, 16:19:44✨ | GET /me | Status: 200 | 7ms
✨29.12.2025, 16:19:44✨ | GET /me | Status: 200 | 7ms
✨29.12.2025, 16:23:02✨ | GET /me | Status: 200 | 7ms
✨29.12.2025, 16:23:02✨ | GET /me | Status: 200 | 8ms
✨29.12.2025, 16:23:02✨ | GET /me | Status: 200 | 6ms
✨29.12.2025, 16:23:02✨ | GET /me | Status: 200 | 6ms
